ID_global,Modulo,Modulo_carpeta,Orden_modulo,Pantalla,Archivo_ordenado,Archivo_mockup,Etapa,Funcionalidad_operacion,Nombre_original
NC-001,ESTUDIANTE,01_estudiante,1,Acceso Al Sistema Neurocommand 1,01_imagenes_ordenadas/01_estudiante/001_acceso_al_sistema_neurocommand_1.png,02_mockups_anotados/01_estudiante/001_acceso_al_sistema_neurocommand_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_1
NC-002,ESTUDIANTE,01_estudiante,2,Acceso Al Sistema Neurocommand 2,01_imagenes_ordenadas/01_estudiante/002_acceso_al_sistema_neurocommand_2.png,02_mockups_anotados/01_estudiante/002_acceso_al_sistema_neurocommand_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_2
NC-003,ESTUDIANTE,01_estudiante,3,Acceso Al Sistema Neurocommand 3,01_imagenes_ordenadas/01_estudiante/003_acceso_al_sistema_neurocommand_3.png,02_mockups_anotados/01_estudiante/003_acceso_al_sistema_neurocommand_3_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_3
NC-004,ESTUDIANTE,01_estudiante,4,Acceso Al Sistema Neurocommand 4,01_imagenes_ordenadas/01_estudiante/004_acceso_al_sistema_neurocommand_4.png,02_mockups_anotados/01_estudiante/004_acceso_al_sistema_neurocommand_4_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",acceso_al_sistema_neurocommand_4
NC-005,ESTUDIANTE,01_estudiante,5,Onboarding Análisis Neural,01_imagenes_ordenadas/01_estudiante/005_onboarding_analisis_neural.png,02_mockups_anotados/01_estudiante/005_onboarding_analisis_neural_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_an_lisis_neural
NC-006,ESTUDIANTE,01_estudiante,6,Onboarding Consolidaci N De Perfil 1,01_imagenes_ordenadas/01_estudiante/006_onboarding_consolidaci_n_de_perfil_1.png,02_mockups_anotados/01_estudiante/006_onboarding_consolidaci_n_de_perfil_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_consolidaci_n_de_perfil_1
NC-007,ESTUDIANTE,01_estudiante,7,Onboarding Consolidaci N De Perfil 2,01_imagenes_ordenadas/01_estudiante/007_onboarding_consolidaci_n_de_perfil_2.png,02_mockups_anotados/01_estudiante/007_onboarding_consolidaci_n_de_perfil_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_consolidaci_n_de_perfil_2
NC-008,ESTUDIANTE,01_estudiante,8,Onboarding Estudiante Paso 1,01_imagenes_ordenadas/01_estudiante/008_onboarding_estudiante_paso_1.png,02_mockups_anotados/01_estudiante/008_onboarding_estudiante_paso_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_estudiante_paso_1
NC-009,ESTUDIANTE,01_estudiante,9,Onboarding Estudiante Paso 2,01_imagenes_ordenadas/01_estudiante/009_onboarding_estudiante_paso_2.png,02_mockups_anotados/01_estudiante/009_onboarding_estudiante_paso_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",onboarding_estudiante_paso_2
NC-010,ESTUDIANTE,01_estudiante,10,Perfil De Usuario Configuración Personal,01_imagenes_ordenadas/01_estudiante/010_perfil_de_usuario_configuracion_personal.png,02_mockups_anotados/01_estudiante/010_perfil_de_usuario_configuracion_personal_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",perfil_de_usuario_configuraci_n_personal
NC-011,ESTUDIANTE,01_estudiante,11,Recuperación De Acceso Seguridad 1,01_imagenes_ordenadas/01_estudiante/011_recuperacion_de_acceso_seguridad_1.png,02_mockups_anotados/01_estudiante/011_recuperacion_de_acceso_seguridad_1_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",recuperaci_n_de_acceso_seguridad_1
NC-012,ESTUDIANTE,01_estudiante,12,Recuperación De Acceso Seguridad 2,01_imagenes_ordenadas/01_estudiante/012_recuperacion_de_acceso_seguridad_2.png,02_mockups_anotados/01_estudiante/012_recuperacion_de_acceso_seguridad_2_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",recuperaci_n_de_acceso_seguridad_2
NC-013,ESTUDIANTE,01_estudiante,13,Seguridad Biométrica Configuración Acceso,01_imagenes_ordenadas/01_estudiante/013_seguridad_biometrica_configuracion_acceso.png,02_mockups_anotados/01_estudiante/013_seguridad_biometrica_configuracion_acceso_mockup_anotado.png,"Acceso, seguridad y onboarding","Ingresar, recuperar acceso, validar identidad y configurar el perfil académico del estudiante.",seguridad_biom_trica_configuraci_n_acceso
NC-014,ESTUDIANTE,01_estudiante,14,Centro De Logros Progresión Académica 1,01_imagenes_ordenadas/01_estudiante/014_centro_de_logros_progresion_academica_1.png,02_mockups_anotados/01_estudiante/014_centro_de_logros_progresion_academica_1_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",centro_de_logros_progresi_n_acad_mica_1
NC-015,ESTUDIANTE,01_estudiante,15,Centro De Logros Progresión Académica 2,01_imagenes_ordenadas/01_estudiante/015_centro_de_logros_progresion_academica_2.png,02_mockups_anotados/01_estudiante/015_centro_de_logros_progresion_academica_2_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",centro_de_logros_progresi_n_acad_mica_2
NC-016,ESTUDIANTE,01_estudiante,16,Panel De Control Estudiante 1,01_imagenes_ordenadas/01_estudiante/016_panel_de_control_estudiante_1.png,02_mockups_anotados/01_estudiante/016_panel_de_control_estudiante_1_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_1
NC-017,ESTUDIANTE,01_estudiante,17,Panel De Control Estudiante 2,01_imagenes_ordenadas/01_estudiante/017_panel_de_control_estudiante_2.png,02_mockups_anotados/01_estudiante/017_panel_de_control_estudiante_2_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_2
NC-018,ESTUDIANTE,01_estudiante,18,Panel De Control Estudiante 3,01_imagenes_ordenadas/01_estudiante/018_panel_de_control_estudiante_3.png,02_mockups_anotados/01_estudiante/018_panel_de_control_estudiante_3_mockup_anotado.png,Panel personal y progresión,"Consultar progreso, XP, logros, actividades pendientes y avance de competencias.",panel_de_control_estudiante_3
